;datetime;BSO_Descente_Requested;BSO_Montee;BSO_Montee_Requested;Consigne_CO2;Consigne_T_Chaud;Consigne_T_Froid;Debit_d_eau;ECL3_1_Etat;ECL3_1_Puissance;ECL3_2_Etat;ECL3_2_Puissance;ECL3_3_Etat;ECL3_3_Puissance;ECL3_4_Etat;ECL3_4_Puissance;Eclairage_3_1_EnergieActive;Eclairage_3_2_EnergieActive;Eclairage_3_3_EnergieActive;Eclairage_3_4_EnergieActive;Energie_chaud;Energie_froid;Occupation;P160_Puissance;P161_2_EnergieActive;P161_EnergieActive;P161_Puissance;P162_1_EnergieActive;P162_1_Puissance;P162_2_EnergieActive;P162_2_Puissance;P163_1_EnergieActive;P163_1_Puissance;P163_2_EnergieActive;P163_2_Puissance;P164_1_EnergieActive;P164_1_Puissance;P164_2_EnergieActive;P164_2_Puissance;P165_1_EnergieActive;P165_1_Puissance;P165_2_EnergieActive;P165_2_Puissance;Photovoltaique;Poutre_froide;Puissance;Sonde_CO2;T_arrivee_eau;T_retour_eau;Tamb;Volet_boite_detente;Contact_Fenetre_Ouest1 State;Contact_Fenetre_Ouest1 dBm;Contact_Fenetre_Ouest2 State;Contact_Fenetre_Ouest2 dBm;Contact_Porte_Est State;Contact_Porte_Est dBm;Contact_Porte_Nord State;Contact_Porte_Nord dBm;Luminosite_Fenetre_Ouest Luminosity;Luminosite_Fenetre_Ouest Voltage;Luminosite_Fenetre_Ouest dBm;Luminosite_Mur_Nord_Ouest Luminosity;Luminosite_Mur_Nord_Ouest Voltage;Luminosite_Mur_Nord_Ouest dBm;Luminosite_Mur_Sud_Est Luminosity;Luminosite_Mur_Sud_Est Voltage;Luminosite_Mur_Sud_Est dBm;Multisens_Nord Battery;Multisens_Nord Humidity;Multisens_Nord Luminosity;Multisens_Nord Presence;Multisens_Nord Temperature;Multisens_Sud Battery;Multisens_Sud Humidity;Multisens_Sud Luminosity;Multisens_Sud Presence;Multisens_Sud Temperature;Presence_Enseignant State;Presence_Enseignant Voltage;Presence_Enseignant dBm;Temperature_Mur_Nord Temperature;Temperature_Mur_Nord dBm;Temperature_Mur_Sud Temperature;Temperature_Mur_Sud dBm;Temperature_Poutre_Froide_Sud_Ouest Temperature;Temperature_Poutre_Froide_Sud_Ouest dBm;WP P00 Energy;WP P00 Power;WP P00 State;WP P01 Energy;WP P01 Power;WP P01 State;WP P02 Energy;WP P02 Power;WP P02 State;WP P03 Energy;WP P03 Power;WP P03 State;WP P04 Energy;WP P04 Power;WP P04 State;WP P05 Energy;WP P05 Power;WP P05 State;WP P06 Energy;WP P06 Power;WP P06 State;WP P07 Energy;WP P07 Power;WP P07 State;WP P08 Energy;WP P08 Power;WP P08 State;WP P09 Energy;WP P09 Power;WP P09 State;WP P10 Energy;WP P10 Power;WP P10 State;WP P11 Energy;WP P11 Power;WP P11 State;WP P12 Energy;WP P12 Power;WP P12 State;WP P13 Energy;WP P13 Power;WP P13 State;WP P14 Energy;WP P14 Power;WP P14 State;WP P15 Energy;WP P15 Power;WP P15 State;WP P16 Energy;WP P16 Power;WP P16 State;WP P17 Energy;WP P17 Power;WP P17 State;WP P18 Energy;WP P18 Power;WP P18 State;WP P19 Energy;WP P19 Power;WP P19 State;WP total Power;aqi_value;co2_max;co2_mean;co2_min;elec_hourly_current;sun_diffus;sun_direct;sun_global;tamb_max;tamb_mean;tamb_min;temp_current;temp_max;temp_min;wind_direction;wind_peak;wind_speed;Prod. Photovoltaique (kWh);Rayonnement (W/m2)
2019-08-20 14:00:00+00:00;1.0;1.0;0.0;0.0;1000.0;20.8999996185303;24.0;0.050999999000000004;0.0;0.001;0.0;0.001;0.0;0.001;0.0;0.002;389.0;416.0;577.0;670.0;2881.0;1977.0;1.0;0.0875;294.0;1249.0;0.01;491.0;491.0;294.0;294.0;414.0;414.0;231.0;231.0;257.0;257.0;436.0;436.0;295.0;295.0;422.0;422.0;0.7659999999999999;30.24988174438475;-123.5;597.5311584472655;19.8500004;22.25;23.55;0.0;1.0;-91.0;1.0;-91.0;1.0;-76.0;1.0;-79.0;144.0;0.1400000000000001;-95.0;176.0;0.1400000000000001;-89.0;80.0;0.020000000000000004;-91.0;36.0;27.0;0.0;0.0;18.300000000000008;30.0;30.0;0.0;0.0;17.600000000000005;0.0;2.9200000000000013;-91.0;24.16000000000001;-80.0;25.569999999999997;-83.0;22.430000000000003;-92.0;6.959999999999999;0.5999999999999998;1.0;12.72;0.5272727272727272;1.0;12.270000000000003;0.5999999999999998;1.0;8.379999999999997;0.4863636363636364;1.0;11.520000000000003;0.5227272727272727;1.0;12.169999999999995;0.5999999999999998;1.0;10.090000000000002;0.5136363636363637;1.0;10.650000000000004;0.5;1.0;10.56;0.5999999999999998;1.0;10.349999999999996;0.0;0.0;33.868181818181824;25.30454545454546;1.0;11.169999999999995;0.8000000000000003;1.0;13.56;1.0363636363636366;0.0;10.460000000000006;0.9500000000000003;1.0;13.610000000000007;1.1000000000000003;1.0;14.180000000000005;1.268181818181818;1.0;11.129999999999997;0.5999999999999998;1.0;10.930000000000005;0.5;1.0;7.900000000000003;0.5999999999999998;1.0;2.399999999999999;0.5;1.0;37.54545454545454;2.9000000000000004;946.5609842936198;534.156992594401;432.4866689046223;91969.3;54.50733287333331;0.10726667286666662;54.61266482666667;25.14599959055584;23.61499258677166;22.472333208719874;16.455999359999996;25.4599991;17.86999889999999;187.1160028863334;1.9;1.2666666666666666;0.5;47.012833
2019-08-20 15:00:00+00:00;1.0;1.0;0.0;0.0;1000.0;20.8999996185303;24.0;0.0414999984;0.0;0.0005;0.0;0.001;0.0;0.001;0.0;0.002;389.0;416.0;577.0;670.0;2881.0;1977.0;1.0;0.0875;294.0;1249.0;0.01;491.0;491.0;294.0;294.0;414.0;414.0;231.0;231.0;257.0;257.0;436.0;436.0;295.0;295.0;422.0;422.0;0.386;28.860299110412598;-78.0;596.7200927734375;20.1000004;22.3499994;23.6;0.0;1.0;-91.0;1.0;-91.0;1.0;-76.0;1.0;-78.13333333333334;144.0;0.13999999999999993;-95.0;176.0;0.13999999999999993;-89.0;80.0;0.02000000000000001;-91.0;36.0;27.0;0.0;0.0;18.29999999999998;30.0;30.0;0.0;0.0;17.600000000000012;0.0;2.9199999999999973;-91.0;24.160000000000018;-80.0;25.569999999999993;-83.0;22.43;-92.0;6.959999999999994;0.6000000000000008;1.0;12.720000000000018;0.5016666666666667;1.0;12.269999999999989;0.6000000000000008;1.0;8.379999999999997;0.48666666666666664;1.0;11.51999999999999;0.5383333333333336;1.0;12.169999999999991;0.6000000000000008;1.0;10.089999999999996;0.4966666666666668;1.0;10.649999999999988;0.5016666666666667;1.0;10.559999999999992;0.6000000000000008;1.0;10.350000000000012;0.0;0.0;33.88300000000005;25.603333333333364;1.0;11.169999999999993;0.7999999999999993;1.0;13.55999999999998;1.0783333333333331;0.0;10.46;0.8849999999999999;1.0;13.61000000000001;1.1000000000000008;1.0;14.179999999999984;1.4466666666666679;1.0;11.129999999999997;0.6000000000000008;1.0;10.929999999999994;0.5;1.0;7.8999999999999915;0.6000000000000008;1.0;2.400000000000003;0.5;1.0;38.00666666666666;2.9000000000000004;929.3637939453125;527.1449808756512;430.12000427246096;92188.43333333333;51.887333126666654;0.07960000189333333;51.96866458666666;25.14299977620442;23.53490473429362;22.28999964396163;16.180666433333325;25.4599991;17.86999889999999;254.90363854400002;1.7666666666666666;1.0666666666666667;1.1640625;55.600497999999995
2019-08-20 16:00:00+00:00;1.0;1.0;0.0;0.0;1000.0;20.8999996185303;24.0;0.074500002;0.0;0.001;0.0;0.001;0.0;0.001;0.0;0.002;389.0;416.0;577.0;670.0;2881.0;1977.0;1.0;0.0865;294.0;1249.0;0.01;491.0;491.0;294.0;294.0;414.0;414.0;231.0;231.0;257.0;257.0;436.0;436.0;295.0;295.0;422.0;422.0;0.3105;34.84089756011965;-8.0;595.760498046875;19.75;21.3000002;23.700000000000003;0.0;1.0;-91.0;1.0;-91.0;1.0;-76.0;1.0;-79.0;144.0;0.13999999999999993;-95.0;176.0;0.13999999999999993;-89.0;80.0;0.02000000000000001;-91.0;36.0;27.0;0.0;0.0;18.29999999999998;30.0;30.0;0.0;0.0;17.600000000000012;0.0;2.9199999999999973;-89.73333333333333;24.160000000000018;-80.0;25.569999999999993;-83.0;22.43;-92.0;6.959999999999994;0.6000000000000008;1.0;12.720000000000018;0.5066666666666667;1.0;12.269999999999989;0.6000000000000008;1.0;8.379999999999997;0.47333333333333333;1.0;11.51999999999999;0.5483333333333337;1.0;12.169999999999991;0.6000000000000008;1.0;10.089999999999996;0.5016666666666668;1.0;10.649999999999988;0.5016666666666667;1.0;10.559999999999992;0.6000000000000008;1.0;10.350000000000012;0.0;0.0;33.904500000000034;25.590000000000014;1.0;11.169999999999993;0.7999999999999993;1.0;13.55999999999998;1.0066666666666666;0.0;10.46;0.8200000000000001;1.0;13.61333333333334;1.1016666666666675;1.0;14.179999999999984;1.4350000000000007;1.0;11.129999999999997;0.6000000000000008;1.0;10.929999999999994;0.5;1.0;7.8999999999999915;0.6000000000000008;1.0;2.400000000000003;0.5;1.0;37.85999999999999;2.9000000000000004;741.4159362792968;513.4404123942056;431.50000406901034;92400.96666666666;27.309333040000013;0.25066667703999995;27.55733309999999;25.14699961344402;23.467076047261564;22.132999992370618;15.758666186666675;25.4599991;17.86999889999999;233.75670294199992;2.0;1.3;1.0;52.006001
2019-08-20 17:00:00+00:00;1.0;1.0;0.0;0.0;1000.0;20.8999996185303;24.0;0.148000002;0.0;0.001;0.0;0.001;0.0;0.001;0.0;0.002;389.0;416.0;577.0;670.0;2881.0;1977.0;1.0;0.087;294.0;1249.0;0.01;491.0;491.0;294.0;294.0;414.0;414.0;231.0;231.0;257.5;257.5;436.0;436.0;295.0;295.0;422.0;422.0;0.2175;64.41536712646484;1.5;581.608581542969;19.3499994;19.75;23.95;31.723533630371104;1.0;-91.0;1.0;-91.0;1.0;-76.0;1.0;-77.0;144.0;0.13999999999999993;-95.0;176.0;0.13999999999999993;-89.0;80.0;0.02000000000000001;-91.0;36.0;27.0;0.0;0.0;18.29999999999998;30.0;30.0;0.0;0.0;17.600000000000012;0.0;2.9199999999999973;-90.23333333333333;24.160000000000018;-80.0;25.569999999999993;-83.0;22.43;-92.0;6.959999999999994;0.6000000000000008;1.0;12.720000000000018;0.5066666666666667;1.0;12.269999999999989;0.6000000000000008;1.0;8.379999999999997;0.4816666666666665;1.0;11.51999999999999;0.5333333333333335;1.0;12.169999999999991;0.6000000000000008;1.0;10.089999999999996;0.3900000000000002;1.0;10.649999999999988;0.5016666666666667;1.0;10.559999999999992;0.6000000000000008;1.0;10.350000000000012;0.0;0.0;33.933000000000014;25.693333333333342;1.0;11.169999999999993;0.7999999999999993;1.0;13.55999999999998;1.0783333333333334;0.0;10.46;0.8700000000000002;1.0;13.629999999999997;1.1033333333333342;1.0;14.179999999999984;1.523333333333334;1.0;11.129999999999997;0.6000000000000008;1.0;10.929999999999994;0.5;1.0;7.8999999999999915;0.598333333333334;1.0;2.400000000000003;0.5;1.0;37.95500000000002;2.9000000000000004;661.8265808105468;498.4273559570312;428.0066670735677;92599.2;28.5846659;0.25366668700000006;28.844666193333335;25.12400016784667;23.417436281840015;21.97166633605959;15.571332833333337;25.4599991;17.86999889999999;184.99276940700003;2.0;1.1666666666666667;0.3359375;25.774666
2019-08-20 18:00:00+00:00;1.0;1.0;0.0;0.0;1000.0;20.8999996185303;24.0;0.157499999;0.0;0.001;0.0;0.001;0.0;0.001;0.0;0.002;389.0;416.0;577.0;670.0;2881.0;1977.0;1.0;0.0865;294.0;1249.0;0.01;491.0;491.0;294.0;294.0;414.0;414.0;231.0;231.0;258.0;258.0;436.0;436.0;295.0;295.0;422.0;422.0;0.07600000000000001;0.0;-239.5;584.663635253906;20.0499992;21.3000002;24.0;0.0;1.0;-91.0;1.0;-91.0;1.0;-76.0;1.0;-74.9;144.0;0.13999999999999993;-95.0;176.0;0.13999999999999993;-89.0;80.0;0.02000000000000001;-91.0;36.0;27.0;0.0;0.0;18.29999999999998;30.0;30.0;0.0;0.0;17.600000000000012;0.0;2.9199999999999973;-89.76666666666667;24.160000000000018;-80.0;25.569999999999993;-83.0;22.43;-92.0;6.959999999999994;0.6000000000000008;1.0;12.720000000000018;0.5033333333333333;1.0;12.269999999999989;0.6000000000000008;1.0;8.379999999999997;0.4699999999999998;1.0;11.51999999999999;0.5366666666666668;1.0;12.169999999999991;0.6000000000000008;1.0;10.089999999999996;0.48500000000000015;1.0;10.649999999999988;0.5;1.0;10.559999999999992;0.6000000000000008;1.0;10.350000000000012;0.0;0.0;33.956000000000024;25.193333333333328;1.0;11.169999999999993;0.7999999999999993;1.0;13.55999999999998;1.058333333333333;0.0;10.46;0.8683333333333337;1.0;13.629999999999997;1.1033333333333342;1.0;14.179999999999984;1.5483333333333331;1.0;11.129999999999997;0.6000000000000008;1.0;10.929999999999994;0.5;1.0;7.8999999999999915;0.515;1.0;2.400000000000003;0.5;1.0;37.59166666666666;2.9000000000000004;639.2461344401041;494.2430704752604;427.5800018310547;92790.76666666666;17.525332626666664;0.3836666746;17.906665420000003;25.081333287556973;23.386858876546217;21.8799991607666;15.849333206666662;25.4599991;17.86999889999999;132.78333586666665;1.5666666666666667;0.9333333333333333;0.6640625;29.153665999999998
2019-08-20 19:00:00+00:00;1.0;1.0;0.0;0.0;1000.0;20.8999996185303;24.0;0.0;0.0;0.001;0.0;0.001;0.0;0.001;0.0;0.002;389.0;416.0;577.0;670.0;2881.0;1977.0;1.0;0.0865;294.0;1249.0;0.01;491.0;491.0;294.0;294.0;414.0;414.0;231.0;231.0;258.0;258.0;436.0;436.0;295.0;295.0;422.0;422.0;-0.017;0.0;0.0;585.676544189453;21.0499992;22.1499996;24.0;0.0;1.0;-91.0;1.0;-91.0;1.0;-76.0;1.0;-74.0;144.0;0.13999999999999993;-95.0;176.0;0.13999999999999993;-89.0;80.0;0.02000000000000001;-91.0;36.0;27.0;0.0;0.0;18.29999999999998;30.0;30.0;0.0;0.0;17.600000000000012;0.0;2.9199999999999973;-90.2;24.160000000000018;-80.0;25.569999999999993;-83.0;22.43;-92.0;6.959999999999994;0.6000000000000008;1.0;12.720000000000018;0.5033333333333334;1.0;12.269999999999989;0.6000000000000008;1.0;8.379999999999997;0.48333333333333334;1.0;11.51999999999999;0.5233333333333335;1.0;12.169999999999991;0.6000000000000008;1.0;10.089999999999996;0.3866666666666669;1.0;10.649999999999988;0.5016666666666667;1.0;10.559999999999992;0.6000000000000008;1.0;10.350000000000012;0.0;0.0;33.9915;25.311666666666685;1.0;11.169999999999993;0.7999999999999993;1.0;13.55999999999998;0.9783333333333328;0.0;10.46;0.8700000000000002;1.0;13.629999999999997;1.1033333333333342;1.0;14.179999999999984;1.6466666666666674;1.0;11.129999999999997;0.6000000000000008;1.0;10.929999999999994;0.5;1.0;7.8999999999999915;0.5066666666666667;1.0;2.4015000000000013;0.5;1.0;37.50833333333333;2.9000000000000004;634.5512227376302;492.891269938151;425.9466674804688;92984.5;12.538666433333338;0.1195333347333334;12.658000100000002;25.040333493550612;23.362742296854652;21.843332926432293;15.59933323333334;25.4599991;17.86999889999999;247.67593848566668;2.066666666666667;1.3;0.3359375;17.171165
2019-08-20 20:00:00+00:00;1.0;1.0;0.0;0.0;1000.0;20.8999996185303;24.0;0.0;0.0;0.001;0.0;0.001;0.0;0.001;0.0;0.002;389.0;416.0;577.0;670.0;2881.0;1977.0;1.0;0.0865;294.0;1249.0;0.01;491.0;491.0;294.0;294.0;414.0;414.0;231.0;231.0;258.0;258.0;436.0;436.0;295.0;295.0;422.0;422.0;-0.017;0.0;0.0;578.4237670898435;21.5499992;22.6999998;24.05;0.0;1.0;-91.0;1.0;-91.0;1.0;-76.0;1.0;-75.56666666666666;144.0;0.13999999999999993;-95.0;176.0;0.13999999999999993;-89.0;80.0;0.02000000000000001;-91.0;36.0;27.0;0.0;0.0;18.29999999999998;30.0;30.0;0.0;0.0;17.600000000000012;0.0;2.9199999999999973;-91.0;24.160000000000018;-80.0;25.569999999999993;-83.0;22.43;-92.0;6.962999999999999;0.7000000000000008;1.0;12.721666666666684;0.5033333333333334;1.0;12.269999999999989;0.6000000000000008;1.0;8.379999999999997;0.4816666666666665;1.0;11.51999999999999;0.5283333333333334;1.0;12.169999999999991;0.6000000000000008;1.0;10.089999999999996;0.43;1.0;10.649999999999988;0.5;1.0;10.559999999999992;0.6633333333333333;1.0;10.350000000000012;0.0;0.0;34.00599999999999;24.913333333333323;1.0;11.169999999999993;0.7999999999999993;1.0;13.55999999999998;1.0049999999999997;0.0;10.46;0.9133333333333339;1.0;13.629999999999997;1.1033333333333342;1.0;14.179999999999984;1.4583333333333337;1.0;11.131499999999996;0.6000000000000008;1.0;10.929999999999994;0.5;1.0;7.8999999999999915;0.5383333333333339;1.0;2.4099999999999975;0.5016666666666667;1.0;37.37833333333332;2.9000000000000004;632.8429056803385;490.84791870117186;418.6666666666667;93168.23333333334;6.853733637333335;0.006666666733333332;6.860400330666668;25.015000343322754;23.30841452280681;21.715000279744476;15.085332580000001;25.4599991;17.86999889999999;93.61133489529998;2.7333333333333334;1.7;0.0;12.549783999999999
2019-08-21 03:00:00+00:00;1.0;1.0;0.0;0.0;1000.0;20.8999996185303;24.0;0.150000006;0.0;0.001;0.0;0.001;0.0;0.001;0.0;0.002;389.0;416.0;577.0;670.0;2881.0;1977.0;1.0;0.0875;294.0;1249.0;0.01;491.0;491.0;294.0;294.0;414.0;414.0;231.0;231.0;258.0;258.0;436.0;436.0;295.0;295.0;422.0;422.0;-0.018500000000000003;62.09465980529785;24.0;554.4638977050779;19.6499996;19.5499992;23.9;24.591720581054698;1.0;-91.0;1.0;-91.0;1.0;-76.0;1.0;-74.86666666666666;144.0;0.13999999999999993;-95.0;176.0;0.13999999999999993;-89.0;80.0;0.02000000000000001;-91.0;36.0;27.0;0.0;0.0;18.29999999999998;30.0;30.0;0.0;0.0;17.600000000000012;0.0;2.9199999999999973;-89.0;24.160000000000018;-80.0;25.569999999999993;-83.0;22.43;-92.0;6.980000000000005;0.6000000000000008;1.0;12.730000000000011;0.4983333333333333;1.0;12.269999999999989;0.6000000000000008;1.0;8.38999999999999;0.4833333333333333;1.0;11.51999999999999;0.5216666666666667;1.0;12.179999999999989;0.6000000000000008;1.0;10.089999999999996;0.3800000000000001;1.0;10.649999999999988;0.505;1.0;10.570000000000004;0.7366666666666674;1.0;10.350000000000012;0.0;0.0;34.183000000000014;25.700000000000028;1.0;11.17999999999999;0.7999999999999993;1.0;13.55999999999998;0.973333333333333;0.0;10.470000000000017;0.8733333333333338;1.0;13.63999999999999;1.1016666666666675;1.0;14.179999999999984;1.453333333333334;1.0;11.13999999999999;0.6000000000000008;1.0;10.929999999999994;0.5;1.0;7.8999999999999915;0.5100000000000001;1.0;2.4099999999999975;0.5;1.0;37.92166666666667;3.299999999999998;644.6072896321615;497.57497049967446;422.6666666666667;94421.06666666667;6.449133621999999;0.0;6.449133621999999;24.737999725341815;22.916151364644364;20.675666427612306;12.875333226666664;17.86999889999999;13.509999300000002;161.6213374636667;0.43333333333333335;0.3;0.0;6.4709501
2019-08-21 04:00:00+00:00;1.0;1.0;0.0;0.0;1000.0;20.8999996185303;24.0;0.149000004;0.0;0.001;0.0;0.001;0.0;0.001;0.0;0.002;389.0;416.0;577.0;670.0;2881.0;1977.0;1.0;0.0865;294.0;1249.0;0.01;491.0;491.0;294.0;294.0;414.0;414.0;231.0;231.0;258.0;258.0;436.0;436.0;295.0;295.0;422.0;422.0;-0.019;61.5279922485352;-143.0;562.897186279297;19.3499994;20.6000004;23.75;22.82178497314451;1.0;-91.0;1.0;-91.0;1.0;-76.0;1.0;-74.0;144.0;0.13999999999999993;-95.0;176.0;0.13999999999999993;-89.0;80.0;0.02000000000000001;-91.0;36.0;27.0;0.0;0.0;18.29999999999998;30.0;30.0;0.0;0.0;17.600000000000012;0.0;2.9199999999999973;-89.0;24.160000000000018;-80.0;25.569999999999993;-83.0;22.43;-92.0;6.980000000000005;0.6866666666666663;1.0;12.730000000000011;0.5083333333333334;1.0;12.269999999999989;0.6000000000000008;1.0;8.38999999999999;0.4833333333333332;1.0;11.51999999999999;0.5300000000000001;1.0;12.179999999999989;0.6000000000000008;1.0;10.089999999999996;0.4800000000000002;1.0;10.649999999999988;0.5466666666666673;1.0;10.570000000000004;0.6000000000000008;1.0;10.350000000000012;0.0;0.0;34.206000000000024;25.700000000000028;1.0;11.17999999999999;0.7999999999999993;1.0;13.561666666666664;0.9816666666666661;0.0;10.470000000000017;0.8050000000000005;1.0;13.63999999999999;1.1033333333333342;1.0;14.181666666666668;1.4916666666666674;1.0;11.13999999999999;0.6000000000000008;1.0;10.929999999999994;0.5;1.0;7.8999999999999915;0.6000000000000008;1.0;2.4099999999999975;0.5;1.0;38.13166666666667;3.299999999999998;644.2228169759115;495.68548482259115;430.8;94605.7;6.3874670313333315;0.0;6.3874670313333315;24.71166617075603;22.876985677083333;20.649999618530284;13.10333323333333;17.86999889999999;13.509999300000002;175.62966969666664;0.9;0.5333333333333333;0.0;6.4452167000000005
2019-08-21 05:00:00+00:00;1.0;1.0;0.0;0.0;1000.0;20.8999996185303;24.0;0.0735;0.0;0.001;0.0;0.001;0.0;0.001;0.0;0.002;389.0;416.0;577.0;670.0;2881.0;1978.0;1.0;0.0865;294.0;1249.0;0.01;491.0;491.0;294.0;294.0;414.0;414.0;231.0;231.0;258.0;258.0;436.0;436.0;295.0;295.0;422.0;422.0;0.3085;19.169925689697248;-146.0;588.7945251464845;19.8499994;21.75;23.4;0.0;1.0;-91.05;1.0;-90.3;1.0;-76.0;1.0;-74.0;144.0;0.13999999999999993;-95.0;176.0;0.13999999999999993;-89.0;80.0;0.02000000000000001;-91.0;36.0;27.0;0.0;0.0;18.29999999999998;30.0;30.0;0.0;0.0;17.600000000000012;0.0;2.9199999999999973;-90.6;23.985999999999986;-78.65;25.569999999999993;-83.0;22.43;-92.0;6.980000000000005;0.7999999999999993;1.0;12.730000000000011;0.5133333333333334;1.0;12.269999999999989;0.6000000000000008;1.0;8.38999999999999;0.48499999999999993;1.0;11.51999999999999;0.5333333333333335;1.0;12.179999999999989;0.6000000000000008;1.0;10.089999999999996;0.49000000000000005;1.0;10.649999999999988;0.505;1.0;10.570000000000004;0.6000000000000008;1.0;10.350000000000012;0.0;0.0;34.24400000000001;25.700000000000028;1.0;11.17999999999999;0.7999999999999993;1.0;13.570000000000016;1.0199999999999994;0.0;10.470000000000017;0.9016666666666672;1.0;13.63999999999999;1.1033333333333342;1.0;14.19000000000002;1.3533333333333346;1.0;11.13999999999999;0.6000000000000008;1.0;10.929999999999994;0.5;1.0;7.8999999999999915;0.5650000000000002;1.0;2.4099999999999975;0.5;1.0;38.18500000000001;3.299999999999998;641.9972147623698;496.937538655599;426.73333333333335;94802.5;6.357800416666663;0.0;6.357800416666663;24.670666758219404;22.825941149393714;20.649999618530284;13.72666619333333;17.86999889999999;13.509999300000002;126.248002541;1.3;0.7;0.0;6.3529167
